北京市,2022B:19352.21;2022A:9413.4;2021D:40269.55;2021C:29638.67;2021B:19147;2021A:8875.82;2020D:35943.25;2020C:25550.58;2020B:16091.04;2020A:7423.19;2019D:35445.13;2019C:25499.84;2019B:16477.85;2019A:7800.52;2018D:33105.97;2018C:23665.71;2018B:15279.69;2018A:7235.42;2017D:28000.35;2017C:19569.76;2017B:12406.79;2017A:6040.48;2016D:24899.26;2016C:17367.77;2016B:11413.83;2016A:5451.89;2015D:22968.59;2015C:16002.35;2015B:10578.28;2015A:4773.46;2014D:21330.83;2014C:14774.06;2014B:9769.32;2014A:4412.95;2013D:19500.6;2013C:13766.18;2013B:9112.79;2013A:4101.23;2012D:17801.02;2012C:12678.14;2012B:8348.59;2012A:3761.52;2011D:16011.43;2011C:11404.26;2011B:7418.07;2011A:3508.97;2010D:13777.94;2010C:9754.36;2010B:6372.62;2010A:3116.99;2009D:11865.93;2009C:8161.44;2009B:5308.43;2009A:2511.88;2008D:10488.03;2008C:7586.27;2008B:4972.8;2008A:2148.34;2007D:9006.23;2007C:6419.78;2007B:4064.26;2007A:1882.78;2006D:7720.33;2006C:5513.18;2006B:3538.02;2006A:1681.56;2005D:6814.53;2005C:3542.04;2005B:2274.45;2005A:1023.87
天津市,2022B:7620.58;2022A:3538.52;2021D:15695.05;2021C:11373.68;2021B:7278.45;2021A:3388.75;2020D:14007.99;2020C:10003.84;2020B:6258.63;2020A:2856.55;2019D:14055.46;2019C:10111.74;2019B:6534.15;2019A:3093.23;2018D:13362.92;2018C:9749.14;2018B:6376.64;2018A:3014.72;2017D:18595.38;2017C:13449.5;2017B:9386.87;2017A:4667.18;2016D:17885.39;2016C:13339.44;2016B:8500.91;2016A:4039.44;2015D:16538.19;2015C:12321.02;2015B:7884.04;2015A:3709.03;2014D:15722.47;2014C:11101.31;2014B:7185.46;2014A:3190.3;2013D:14370.2;2013C:10223.04;2013B:6579.01;2013A:2915.85;2012D:12885.18;2012C:9188.45;2012B:5864.94;2012A:2582.6;2011D:11190.99;2011C:8006.26;2011B:5098.65;2011A:2256.51;2010D:9108.83;2010C:6448.59;2010B:4106.48;2010A:1842.4;2009D:7500.8;2009C:4997.02;2009B:3154.85;2009A:1416.93;2008D:6354.38;2008C:4623.93;2008B:2951.88;2008A:1230.63;2007D:5018.28;2007C:3601.3;2007B:2312.26;2007A:989.72;2006D:4337.73;2006C:3094.08;2006B:1986.02;2006A:860.34;2005D:3663.86;2005C:2477.64;2005B:1577.59;2005A:705.15
河北省,2022B:19823.72;2022A:9559.76;2021D:40391.27;2021C:28949.08;2021B:18660.36;2021A:8711.17;2020D:36013.84;2020C:25571.44;2020B:16256.44;2020A:7364.59;2019D:34978.55;2019C:25164.17;2019B:16260.95;2019A:7697.84;2018D:32494.61;2018C:23758.81;2018B:15364.91;2018A:7116.85;2017D:35964;2017C:25603.47;2017B:16404.87;2017A:7512.43;2016D:31827.86;2016C:22496.12;2016B:14467.69;2016A:6487.44;2015D:29806.11;2015C:21280.18;2015B:13798.13;2015A:6029.46;2014D:29421.15;2014C:21709.99;2014B:13640;2014A:5426.83;2013D:28301.4;2013C:20947.32;2013B:13154.58;2013A:5312.15;2012D:26575.01;2012C:19581.85;2012B:12219.21;2012A:4919.97;2011D:24228.18;2011C:17821.94;2011B:10992.43;2011A:4396.11;2010D:20197.09;2010C:14641.23;2010B:9083.52;2010A:3665.2;2009D:17026.6;2009C:12212.87;2009B:7513.56;2009A:3023.46;2008D:16188.61;2008C:11822.48;2008B:7375.81;2008A:2963.95;2007D:13863.5;2007C:9879.99;2007B:6037.28;2007A:2450.1;2006D:11613.7;2006C:8321.37;2006B:5146.91;2006A:2084.27;2005D:10116.56;2005C:7492.8;2005B:4766.76;2005A:1941.61
山西省,2022B:11568.94;2022A:5513.12;2021D:22590.16;2021C:15584.85;2021B:9606.7;2021A:4464.06;2020D:17835.58;2020C:12583.03;2020B:7881.96;2020A:3669.54;2019D:16961.61;2019C:12202.47;2019B:7885.17;2019A:3732.8;2018D:15958.13;2018C:11237.45;2018B:7337.23;2018A:3455.53;2017D:14973.51;2017C:10460.38;2017B:6577.91;2017A:2809.42;2016D:12928.34;2016C:8945.55;2016B:5714;2016A:2465.99;2015D:12802.58;2015C:9003.26;2015B:5814.18;2015A:2577.24;2014D:12759.44;2014C:9109.9;2014B:6097.8;2014A:2631.67;2013D:12602.2;2013C:9028.99;2013B:6016.58;2013A:2610.08;2012D:12112.81;2012C:8712.89;2012B:5785.87;2012A:2494.07;2011D:11100.18;2011C:7906.51;2011B:5134.34;2011A:2200.87;2010D:9088.06;2010C:6262.61;2010B:4143.38;2010A:1807.73;2009D:7365.74;2009C:4819.07;2009B:3105.99;2009A:1309.21;2008D:6938.73;2008C:5105.73;2008B:3254.35;2008A:1365.27;2007D:5696.15;2007C:3973.95;2007B:2511.56;2007A:1098.84;2006D:4746.5;2006C:3320.45;2006B:2112.25;2006A:913.6;2005D:4121.18;2005C:2594.78;2005B:1572.41;2005A:713.86
内蒙古自治区,2022B:10465.15;2022A:5078.4;2021D:20514.19;2021C:14435.84;2021B:9065.27;2021A:4203.62;2020D:17258.04;2020C:12202.27;2020B:7638.52;2020A:3527.18;2019D:17212.53;2019C:12382.99;2019B:7895.82;2019A:3676.02;2018D:16140.76;2018C:11489.74;2018B:7322.57;2018A:3405.07;2017D:16103.17;2017C:13740.21;2017B:8465.71;2017A:3742.2;2016D:18632.57;2016C:12690.14;2016B:7579.98;2016A:3495.54;2015D:18032.79;2015C:12092.76;2015B:7424.9;2015A:3274.5;2014D:17769.51;2014C:11709.03;2014B:7338.66;2014A:3161.38;2013D:16832.4;2013C:11338;2013B:7087.55;2013A:2943.92;2012D:15988.34;2012C:10803.26;2012B:6673.15;2012A:2704.34;2011D:14246.11;2011C:9571.89;2011B:5804.83;2011A:2391.71;2010D:11655;2010C:7759.11;2010B:4690.29;2010A:1981.72;2009D:9725.78;2009C:5895.51;2009B:3512.84;2009A:1471.07;2008D:7761.8;2008C:5169.35;2008B:3069.3;2008A:1269.76;2007D:6018.81;2007C:3852.19;2007B:2320.71;2007A:967.91;2006D:4790;2006C:2979.52;2006B:1776.08;2006A:785.93;2005D:3822.77;2005C:2093.12;2005B:1187.39;2005A:535.66
辽宁省,2022B:13172.91;2022A:6214.68;2021D:27584.08;2021C:19646.87;2021B:12587.95;2021A:5818.66;2020D:25011.38;2020C:17569.43;2020B:11057.03;2020A:5056.97;2019D:24855.26;2019C:17881.3;2019B:11554.8;2019A:5402.25;2018D:23510.54;2018C:16857.07;2018B:10834.52;2018A:5051.14;2017D:23942;2017C:16639.4;2017B:10296.82;2017A:4574.72;2016D:22037.88;2016C:19952.81;2016B:12812.57;2016A:5647.1;2015D:28743.39;2015C:20404.6;2015B:13004.97;2015A:5719.1;2014D:28626.58;2014C:20361.68;2014B:13207.48;2014A:5663.64;2013D:27077.7;2013C:19263.93;2013B:12334.73;2013A:5296.16;2012D:24801.3;2012C:17643.69;2012B:11228.08;2012A:4811.74;2011D:22025.92;2011C:15709.16;2011B:9948.45;2011A:4246.19;2010D:18278.29;2010C:13055.94;2010B:8205.52;2010A:3554.91;2009D:15065.57;2009C:9472.96;2009B:5920.62;2009A:2642.23;2008D:13461.57;2008C:8814.68;2008B:5578.05;2008A:2488.92;2007D:11021.73;2007C:7029.03;2007B:4419.92;2007A:2016.53;2006D:9257.05;2006C:5840.99;2006B:3672.06;2006A:1714.09;2005D:8005.01;2005C:5211.55;2005B:3247.5;2005A:1507.52
吉林省,2022B:5697.15;2022A:2576.23;2021D:13235.52;2021C:9499.97;2021B:6057.82;2021A:2759.01;2020D:12255.98;2020C:8724.61;2020B:5403.03;2020A:2381.09;2019D:11726.82;2019C:8436.48;2019B:5316.06;2019A:2492.34;2018D:11253.81;2018C:8363.13;2018B:5424.21;2018A:2452.62;2017D:15288.94;2017C:9970.58;2017B:6124.22;2017A:2683.43;2016D:14886.23;2016C:9298.11;2016B:5604.85;2016A:2484.68;2015D:14274.11;2015C:8896.9;2015B:5370.21;2015A:2391.06;2014D:13803.81;2014C:8449.09;2014B:5141.7;2014A:2305.1;2013D:12981.5;2013C:8014.61;2013B:4808.01;2013A:2166.02;2012D:11937.82;2012C:7382.56;2012B:4437.97;2012A:1972.46;2011D:10530.71;2011C:6526.69;2011B:3890.44;2011A:1707.97;2010D:8577.06;2010C:5281.59;2010B:3180.1;2010A:1443.59;2009D:7203.18;2009C:4347.45;2009B:2572.32;2009A:1155.21;2008D:6424.06;2008C:4008.48;2008B:2384.09;2008A:1064.34;2007D:5226.08;2007C:3139.91;2007B:1881.01;2007A:854.91;2006D:4249.23;2006C:2562.31;2006B:1550.64;2006A:713.2;2005D:3614.92;2005C:2014.63;2005B:1229.68;2005A:572.3
黑龙江省,2022B:6395.24;2022A:2976.61;2021D:14879.19;2021C:9710.18;2021B:5965.25;2021A:2680.37;2020D:13633.43;2020C:8546.86;2020B:5211.76;2020A:2380.68;2019D:13544.43;2019C:8700.97;2019B:5558.51;2019A:2568.24;2018D:12846.48;2018C:8296.56;2018B:5292.78;2018A:2441.77;2017D:16199.88;2017C:9901.81;2017B:6108.01;2017A:2797.95;2016D:15386.09;2016C:9231.56;2016B:5630.29;2016A:2601.71;2015D:15083.67;2015C:8790.9;2015B:5435.25;2015A:2561.01;2014D:15039.38;2014C:8987.03;2014B:5672.27;2014A:2644.96;2013D:14382.9;2013C:8748.81;2013B:5545.1;2013A:2608.67;2012D:13691.57;2012C:8391.78;2012B:5416.69;2012A:2461.3;2011D:12503.83;2011C:7836.27;2011B:5067;2011A:2180;2010D:10235;2010C:6450.46;2010B:4202;2010A:1860;2009D:8288;2009C:4955;2009B:3231;2009A:1460;2008D:8310;2008C:5351;2008B:3414;2008A:1557;2007D:7077.2;2007C:4547;2007B:2927;2007A:1353;2006D:6216.8;2006C:4049;2006B:2575;2006A:1197;2005D:5510;2005C:3844.1;2005B:2351.27;2005A:1074.41
上海市,2022B:19349.31;2022A:10010.25;2021D:43214.85;2021C:30748.13;2021B:20017.81;2021A:9416.36;2020D:38963.3;2020C:27385.22;2020B:17428.05;2020A:7903.48;2019D:37987.55;2019C:27328.9;2019B:17659.78;2019A:8360.04;2018D:36011.82;2018C:25604.72;2018B:17101.98;2018A:8104.28;2017D:30133.86;2017C:21617.52;2017B:13908.57;2017A:6922.84;2016D:27466.15;2016C:19529.67;2016B:12956.99;2016A:6225.39;2015D:24964.99;2015C:17866.24;2015B:11887;2015A:5815.79;2014D:23560.94;2014C:16607.08;2014B:10952.64;2014A:5313.07;2013D:21602.1;2013C:15474.13;2013B:10168.52;2013A:4937.5;2012D:20101.33;2012C:14374.23;2012B:9552.24;2012A:4593.85;2011D:19195.69;2011C:13725.64;2011B:9164.1;2011A:4327.63;2010D:16872.42;2010C:12109.52;2010B:7980.16;2010A:3810.63;2009D:14900.93;2009C:10214.82;2009B:6612;2009A:3150.47;2008D:13698.15;2008C:9929.52;2008B:6530.73;2008A:3040.76;2007D:12001.16;2007C:8590.97;2007B:5561.91;2007A:2630.5;2006D:10296.97;2006C:7359.18;2006B:4781.93;2006A:2296.72;2005D:9143.95;2005C:6111.68;2005B:3930.64;2005A:1801.6
江苏省,2022B:56909.14;2022A:27859.04;2021D:116364.2;2021C:84569.5;2021B:54967;2021A:25762.11;2020D:102807.68;2020C:73598.08;2020B:46638.64;2020A:21003.74;2019D:98656.82;2019C:70975.41;2019B:45863.91;2019A:21711.72;2018D:93207.55;2018C:66553.65;2018B:43143.32;2018A:20440.34;2017D:85900.94;2017C:62604.46;2017B:40821.22;2017A:18822.6;2016D:76086.17;2016C:55281.46;2016B:36531.73;2016A:16509.04;2015D:70116.38;2015C:51202.37;2015B:33926.9;2015A:14620.67;2014D:65088.32;2014C:45642.77;2014B:30115;2014A:12892.85;2013D:59161.8;2013C:41934.3;2013B:27603.98;2013A:11881.25;2012D:54058.22;2012C:38796.36;2012B:25382.81;2012A:10881.46;2011D:48604.26;2011C:35113.06;2011B:22918.26;2011A:9902.13;2010D:40903.34;2010C:29351.53;2010B:19114.1;2010A:8203.53;2009D:34061.19;2009C:23915.19;2009B:15530.49;2009A:6653.17;2008D:30312.61;2008C:21840.63;2008B:14239.82;2008A:6116.83;2007D:25560.1;2007C:18010.36;2007B:11752.1;2007A:5054.5;2006D:21548.36;2006C:15013.45;2006B:9871.22;2006A:4290.86;2005D:18272.12;2005C:12471.35;2005B:8212.85;2005A:3556.56
