潜江市,2020,7652300,834500,3678100,2004
天门市,2020,6174900,902500,2738500,2622
神农架林区,2020,307257,24138,91246,3234
望城区,2020,8570389,566542,3264406,951
长沙县,2020,18083429,871314,9452038,1756
溧水区,2020,9115100,504200,4595700,1064
高淳区,2020,5131300,468700,2296800,790
锡山区,2020,9753800,165900,4844300,399
江阴市,2020,41137500,380400,20941100,987
宜兴市,2020,18322100,525300,9347400,1997
铜山区,2020,11815500,1052100,5717600,1871
丰县,2020,4865300,964000,1747000,1450
沛县,2020,8050200,1184700,3296500,1806
睢宁县,2020,6193400,1099200,2395700,1769
新沂市,2020,6922300,901000,2649100,1592
邳州市,2020,10012700,1593300,3963800,2085
武进区,2020,26072100,406000,13938100,1065
金坛区,2020,9731500,388400,4943300,976
溧阳市,2020,10863600,544400,5399800,1535
吴中区,2020,13437800,201800,5990700,2232
吴江区,2020,20028300,375000,10002000,1237
常熟市,2020,23654400,403400,11460700,1276
张家港市,2020,26866100,301000,13590100,987
昆山市,2020,42767600,309500,21491900,932
太仓市,2020,13860900,269600,6665300,810
通州区,2020,14625100,634300,7316300,1562
如东县,2020,11551100,908100,5610600,2791
启东市,2020,12231000,839600,5897500,1715
如皋市,2020,13052200,777100,6233000,1576
海门市,2020,14425700,687300,7101300,1144
海安市,2020,12216300,719000,6424200,1184
赣榆区,2020,6315800,1108800,2670600,1514
东海县,2020,5538100,854200,2193600,2037
灌云县,2020,3816400,795900,1320500,1538
灌南县,2020,3969400,667600,1760100,1028
淮安区,2020,6161000,831400,2524000,1452
淮阴区,2020,5497600,786700,2100400,1307
洪泽区,2020,3436500,412100,1322300,1273
涟水县,2020,5540500,719500,2285400,1679
盱眙县,2020,4353200,754700,1556500,2497
金湖县,2020,3370300,470300,1336500,1378
盐都区,2020,6069000,505500,2686700,1015
大丰区,2020,6867900,986400,2246100,3008
响水县,2020,4057300,514700,1823000,1474
滨海县,2020,5038600,711100,1940800,1950
阜宁县,2020,5742300,667000,2352000,1439
射阳县,2020,5923600,1038900,2076000,2606
建湖县,2020,5938900,538900,2470600,1157
东台市,2020,8933600,1242900,3165600,3176
邗江区,2020,11280100,237300,4130300,553
江都区,2020,11149100,733900,5449500,1330
宝应县,2020,7630400,843700,3572700,1462
仪征市,2020,8150500,236400,4295800,902
高邮市,2020,8381800,901700,4107300,1922
丹徒区,2020,4140300,217100,2058800,617
丹阳市,2020,11453600,504600,5875900,1047
扬中市,2020,4895900,164100,2521500,327
句容市,2020,6754700,526000,2834400,1378
姜堰区,2020,6874900,474600,3165900,858
兴化市,2020,9009200,1339600,3476300,2395
靖江市,2020,10048000,271500,5377700,656
泰兴市,2020,11274700,695100,5649700,1170
宿豫区,2020,3352500,337200,1450100,1237
沭阳县,2020,10112000,1075900,4105700,2299
泗阳县,2020,5285400,698500,2215200,1378
商河县,2020,1799393,480763,518552,1162
即墨区,2020,12783600,769700,6301900,1921
胶州市,2020,12258600,577900,5678000,1324
平度市,2020,7156900,1134400,2546200,3176
莱西市,2020,5518700,689100,1991200,1568
桓台县,2020,5885171,138203,3259684,509
高青县,2020,1814716,363424,702068,831
沂源县,2020,2696889,385324,1056721,1636
滕州市,2020,7530500,779600,3391600,1495
垦利区,2020,2673962,308185,1405954,2331
利津县,2020,2403441,348673,1122513,1301
广饶县,2020,6208026,470460,3715479,1166
蓬莱区,2020,4448176,996686,1249829,1204
龙口市,2020,10939666,359668,5282035,941
莱阳市,2020,4439876,565686,1777307,1730
莱州市,2020,6740758,867519,3001926,1949
招远市,2020,6975600,486396,2946156,1432
栖霞市,2020,2502142,537941,555843,1793
海阳市,2020,4203639,837481,1343944,1916
临朐县,2020,3218300,390900,1268100,1831
昌乐县,2020,3303400,479500,1182000,1101
青州市,2020,5647500,628000,2243600,1569
诸城市,2020,6527600,694400,2379700,2151
寿光市,2020,7865700,1063300,3269400,1990
安丘市,2020,3298300,537400,888600,1712
高密市,2020,5102500,484500,1628300,1527
昌邑市,2020,4504000,491900,1876300,1628
兖州区,2020,7089300,348900,3614200,650
微山县,2020,3888414,578500,1319964,1738
鱼台县,2020,1865273,497700,531853,653
金乡县,2020,2183893,677400,547328,888
嘉祥县,2020,2880378,418000,1213937,975
汶上县,2020,2255500,392900,859300,889
泗水县,2020,1857311,517500,478436,1118
梁山县,2020,2405500,570800,820000,961
曲阜市,2020,3653797,279500,1129315,815
邹城市,2020,8241183,606400,3942700,1617
宁阳县,2020,2517524,575130,885229,1124
东平县,2020,2168776,510547,694128,1340
新泰市,2020,5221000,577000,2024000,1934
肥城市,2020,7214823,566156,3609161,1278
文登区,2020,5566200,701100,2306300,1616
荣成市,2020,9432000,1352100,2990300,1528
乳山市,2020,2804100,538200,931000,1665
五莲县,2020,1972600,254600,739800,1497
莒县,2020,3857400,457700,1421900,1821
沂南县,2020,2329200,475600,808300,1719
郯城县,2020,3209400,358700,840800,1195
沂水县,2020,4441400,467200,1687600,2414
兰陵县,2020,2804900,689800,607700,1724
费县,2020,4084400,406500,2144700,1660
平邑县,2020,2448500,449600,746900,1823
莒南县,2020,2965800,502000,1285400,1751
蒙阴县,2020,1753900,364500,396500,1602
临沭县,2020,2048400,271200,657000,1010
陵城区,2020,2320100,341200,842900,1213
宁津县,2020,2402100,232000,1068200,833
庆云县,2020,1654900,123400,593100,501
临邑县,2020,2746959,300194,1209720,1016
齐河县,2020,3455200,430800,1655900,1411
平原县,2020,2383900,446700,769700,1047
夏津县,2020,1987600,256400,868200,882
武城县,2020,1801400,178800,838700,751
